confirmed_cases,confirmed_deaths,majority_vaccinated,population_vaccinated
41787,224,V,78.02
41787,224,V,78.04
41787,224,V,78.05
41787,224,V,78.06
41787,224,V,78.07
41787,224,V,78.08
41787,224,V,78.08
41787,224,V,78.08
42020,224,V,78.1
42020,224,V,78.12
42080,224,V,78.13
42080,224,V,78.15
42080,224,V,78.16
42080,224,V,78.16
42080,224,V,78.16
42080,224,V,78.17
42217,226,V,78.18
42286,226,V,78.2
42286,226,V,78.2
42286,226,V,78.21
42286,226,V,78.21
42286,226,V,78.21
42406,226,V,78.22
42406,226,V,78.23
42478,226,V,78.24
42478,226,V,78.26
42478,226,V,78.27
42478,226,V,78.27
42478,226,V,78.27
42572,226,V,78.28
42572,226,V,78.29
42638,227,V,78.3
42638,227,V,78.3
42638,227,V,78.31
42638,227,V,78.31
42638,227,V,78.31
42696,227,V,78.31
42696,227,V,78.32
42750,227,V,78.33
42750,227,V,78.34
42750,227,V,78.35
42750,227,V,78.35
42750,227,V,78.35
42792,227,V,78.36
42792,227,V,78.37
42848,227,V,78.38
42848,227,V,78.38
42848,227,V,78.4
42848,227,V,78.4
42848,227,V,78.4
42914,227,V,78.41
42914,227,V,78.42
42970,228,V,78.43
42970,228,V,78.44
42970,228,V,78.44
42970,228,V,78.44
42970,228,V,78.44
42970,228,V,78.45
42970,228,V,78.46
42970,228,V,78.46
42970,228,V,78.48
42970,228,V,78.49
42970,228,V,78.49
42970,228,V,78.49
42970,228,V,78.5
42970,228,V,78.5
42970,228,V,78.51
42970,228,V,78.51
42970,228,V,78.52
42970,228,V,78.52
42970,228,V,78.52
42970,228,V,78.52
42970,228,V,78.53
42970,230,V,78.53
42970,230,V,78.54
42970,230,V,78.54
42970,230,V,78.54
42970,230,V,78.54
42970,230,V,78.55
42970,230,V,78.56
44145,230,V,78.57
44145,230,V,78.58
44145,230,V,78.59
44145,230,V,78.59
44145,230,V,78.59
44145,230,V,78.59
44145,230,V,78.6
44145,230,V,78.6
44145,232,V,78.62
44145,232,V,78.62
44145,232,V,78.62
44145,232,V,78.62
44145,232,V,78.63
44145,232,V,78.63
43291,232,V,78.64
43291,232,V,78.64
43291,232,V,78.65
43291,232,V,78.65
43291,232,V,78.65
43291,232,V,78.65
43291,232,V,78.66
43334,232,V,78.68
43334,232,V,78.68
43334,232,V,78.69
43334,232,V,78.69
43334,232,V,78.69
43334,232,V,78.69
43334,232,V,78.7
43379,233,V,78.71
43379,233,V,78.71
43379,233,V,78.72
43379,233,V,78.72
43379,233,V,78.72
43379,233,V,78.72
43379,233,V,78.73
43379,233,V,78.73
43423,234,V,78.73
43423,234,V,78.74
43423,234,V,78.74
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
5,0,NV,0
5,0,NV,0
5,0,NV,0
5,0,NV,0
5,0,NV,0
5,0,NV,0
5,0,NV,0
5,0,NV,0
5,0,NV,0
5,0,NV,0
5,0,NV,0
5,0,NV,0
8,0,NV,0
8,0,NV,0
8,0,NV,0
8,0,NV,0
11,0,NV,0
11,0,NV,0
11,0,NV,0
14,0,NV,0
20,0,NV,0
25,0,NV,0
26,0,NV,0
26,0,NV,0
26,0,NV,0
24,0,NV,0
24,0,NV,0
34,0,NV,0
40,1,NV,0
42,1,NV,0
74,1,NV,0
80,2,NV,0
91,2,NV,0
106,2,NV,0
114,4,NV,0
114,4,NV,0
166,4,NV,0
192,4,NV,0
235,4,NV,0
269,5,NV,0
270,5,NV,0
299,7,NV,0
337,7,NV,0
367,11,NV,0
423,14,NV,0
444,15,NV,0
521,15,NV,0
521,15,NV,0
555,18,NV,0
607,19,NV,0
665,22,NV,0
770,25,NV,0
794,29,NV,0
845,30,NV,0
908,30,NV,0
933,30,NV,0
996,33,NV,0
1026,36,NV,0
1092,36,NV,0
1176,40,NV,0
1226,40,NV,0
1330,43,NV,0
1463,49,NV,0
1531,50,NV,0
1703,60,NV,0
1827,60,NV,0
1827,60,NV,0
2171,64,NV,0
2469,72,NV,0
2469,72,NV,0
2469,72,NV,0
2469,72,NV,0
3224,95,NV,0
3392,104,NV,0
3563,105,NV,0
3563,105,NV,0
4402,119,NV,0
4664,120,NV,0
4967,127,NV,0
4967,127,NV,0
5339,136,NV,0
6053,153,NV,0
6402,168,NV,0
6635,169,NV,0
7072,173,NV,0
7655,177,NV,0
8145,187,NV,0
8676,193,NV,0
9216,205,NV,0
9952,215,NV,0
10668,222,NV,0
11180,223,NV,0
11917,224,NV,0
12465,230,NV,0
13102,239,NV,0
13745,250,NV,0
14529,252,NV,0
15180,254,NV,0
15836,269,NV,0
16578,274,NV,0
17353,298,NV,0
17977,303,NV,0
